dataset,method,run_id,alignment,test_accuracy,train_time_sec,circuits_total,subcentroids,noise_level,mitigation,n_samples,centroid_method
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,0.19495829939842224,1.0,102.935887,3200,8,0.0,,20,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters10__rep1,0.20937393605709076,0.875,109.085319,4000,10,0.0,,20,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters2__rep1,0.18774089217185974,0.9166666666666666,188.901881,800,2,0.0,,30,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,0.1613566279411316,1.0,195.586884,1600,4,0.0,,30,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,0.19444161653518677,0.9166666666666666,202.516008,2400,6,0.0,,30,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,0.18319734930992126,0.8333333333333334,208.833428,3200,8,0.0,,30,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters10__rep1,0.20872735977172852,0.9166666666666666,214.660232,4000,10,0.0,,30,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters2__rep1,0.1817834973335266,0.85,529.731548,800,2,0.0,,50,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,0.186854287981987,0.85,537.413459,1600,4,0.0,,50,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,0.18133777379989624,0.85,776.640451,2400,6,0.0,,50,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,0.1763102114200592,0.9,785.736483,3200,8,0.0,,50,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters10__rep1,0.18582861125469208,0.85,556.483126,4000,10,0.0,,50,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters2__rep1,0.11144950240850449,0.8928571428571429,1079.890853,800,2,0.0,,70,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,0.11277882009744644,0.8214285714285714,1099.397957,1600,4,0.0,,70,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,0.10786299407482147,0.8214285714285714,18630.152969,2400,6,0.0,,70,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,0.1153312548995018,0.9285714285714286,1766.943100,3200,8,0.0,,70,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters10__rep1,0.10625588148832321,0.9285714285714286,1126.736110,4000,10,0.0,,70,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters2__rep1,0.09290297329425812,0.8125,1512.064734,800,2,0.0,,80,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,0.09194052964448929,0.8125,2539.849770,1600,4,0.0,,80,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,0.09437599033117294,0.90625,4409.072944,2400,6,0.0,,80,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,0.09013853967189789,0.8125,2951.709272,3200,8,0.0,,80,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters10__rep1,0.09863917529582977,0.875,25802.468327,4000,10,0.0,,80,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters2__rep1,0.12059946358203888,0.8888888888888888,33945.391454,800,2,0.0,,90,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters4__rep1,0.12354307621717453,0.8333333333333334,12903.696720,1600,4,0.0,,90,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters6__rep1,0.12596730887889862,0.8611111111111112,7846.205349,2400,6,0.0,,90,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters8__rep1,0.10839038342237473,0.8055555555555556,2191.306206,3200,8,0.0,,90,off
double_cake,ccka,ccka_lr0_1_lr0_01_lr0_01_optgd_epochs100_epochs0_001_epochs0_001_clusters10__rep1,0.1123666986823082,0.8611111111111112,1936.295256,4000,10,0.0,,90,off
