method,epoch,n_sv,sv_fraction,test_accuracy,train_accuracy,margin,proximity_ratio,local_block_ratio,global_block_ratio,block_ratio_lift,local_kta,global_kta,kta_lift,sv4_sv_sep,sv4_non_sv_sep,sv4_sv_within,sv4_sv_between,sv4_non_sv_within,sv4_non_sv_between,dataset,centroids
fullKTA,12,23,0.7666666666666667,0.6333333333333333,0.9,0.26085942779500576,,1.407303849863696,2.1718154391526463,0.6479850103413806,0.19040570097916745,0.23946796707250328,0.7951197115312157,,,,,,,checkerboard,4
fullKTA,13,23,0.7666666666666667,0.6666666666666666,0.9333333333333333,0.2696312662090017,,1.574425080546092,2.4278905904909376,0.648474476835006,0.20935332149741864,0.2559135393244419,0.8180627018338352,,,,,,,checkerboard,4
fullKTA,14,24,0.8,0.7,0.9666666666666667,0.278797107864255,,1.9700883888783187,2.721869963193656,0.7237995993366163,0.24343814990425117,0.2748093607615178,0.8858437323280438,,,,,,,checkerboard,4
fullKTA,15,22,0.7333333333333333,0.8,1.0,0.28944901584578026,,2.0514768760197475,3.007192574541157,0.6821900577034201,0.25741893140865557,0.29290761698526696,0.8788400041290819,,,,,,,checkerboard,4
fullKTA,16,21,0.7,0.8,1.0,0.2927091109644723,,2.125199843033881,3.292954483876594,0.645377837250722,0.270276875707748,0.31059406898923686,0.8701932928091253,,,,,,,checkerboard,4
fullKTA,17,21,0.7,0.8333333333333334,1.0,0.31543249120645916,,2.377593125573849,3.630821982186715,0.6548360501211975,0.2913504470511527,0.32958922049480144,0.8839805092088868,,,,,,,checkerboard,4
fullKTA,18,18,0.6,0.8666666666666667,1.0,0.3287565867716675,,2.421734282736058,4.16035818210007,0.582097544653091,0.3126077341837303,0.35156141773437044,0.8891980698832196,,,,,,,checkerboard,4
fullKTA,19,18,0.6,0.9,1.0,0.346462451363459,,2.998873588572646,4.864283162093978,0.6165088438683819,0.3364906024971446,0.37290530706307834,0.9023486553651837,,,,,,,checkerboard,4
fullKTA,20,17,0.5666666666666667,0.9333333333333333,1.0,0.3587920149183454,,3.0102095512394103,5.547472038086418,0.5426272598615043,0.3439256869676952,0.3900752619898616,0.8816905874140388,,,,,,,checkerboard,4
fullKTA,21,19,0.6333333333333333,1.0,1.0,0.3735176334274787,,3.6346857378169157,5.93719654099115,0.6121888862296153,0.3671696058387073,0.4011540061128568,0.9152834077491002,,,,,,,checkerboard,4
fullKTA,22,17,0.5666666666666667,1.0,1.0,0.38627681710091494,,3.222083103288252,6.051013500850669,0.5324865169747239,0.3650022910219033,0.4085709650411161,0.8933632640680557,,,,,,,checkerboard,4
fullKTA,23,16,0.5333333333333333,1.0,1.0,0.40085674750187117,,3.4335056332103884,6.183797407823259,0.5552422575828665,0.3780107252465386,0.41637783883819335,0.9078550535026195,,,,,,,checkerboard,4
fullKTA,24,16,0.5333333333333333,1.0,1.0,0.4105105521854838,,3.5049243761158584,6.266740021166654,0.5592898962174326,0.38348302930812633,0.42257706749620816,0.907486607092844,,,,,,,checkerboard,4
fullKTA,25,15,0.5,1.0,1.0,0.4141312348044815,,3.13038211046859,6.269035636288391,0.49934029602550034,0.3752240845943232,0.4272436797303439,0.8782437337477353,,,,,,,checkerboard,4
fullKTA,26,17,0.5666666666666667,1.0,1.0,0.4202884052467299,,3.691909332696995,6.31467632880719,0.584655355302417,0.39322815858983823,0.4330790093383765,0.9079824928476273,,,,,,,checkerboard,4
fullKTA,27,17,0.5666666666666667,1.0,1.0,0.42643647976656596,,3.590049384419685,6.410513047978617,0.5600252830771022,0.3832621678575537,0.44067755744696707,0.8697111102979322,,,,,,,checkerboard,4
fullKTA,28,18,0.6,1.0,1.0,0.43806549919903254,,4.007700340662898,6.509361370740787,0.6156825704309055,0.3939436694860869,0.44879956049084513,0.8777719589730872,,,,,,,checkerboard,4
fullKTA,29,18,0.6,1.0,1.0,0.4469401199802119,,4.025768264624768,6.534670186002364,0.6160629610942855,0.3973853355659279,0.45507161797117823,0.8732369143350365,,,,,,,checkerboard,4
