,config.name,config.n_qubits,config.ansatz,config.train_method,config.lambda_kao,config.lambda_co,config.clusters,accuracy_train_init,accuracy_test_init,accuracy_train_final,accuracy_test_final
74,double_cake,5,embedding_paper,ccka,0.01,0.01,10,1.0,0.65,1.0,0.65
75,double_cake,5,embedding_paper,ccka,0.01,0.01,2,1.0,0.65,1.0,0.8000000000000002
76,double_cake,5,embedding_paper,ccka,0.01,0.01,4,1.0,0.65,1.0,0.75
77,double_cake,5,embedding_paper,ccka,0.01,0.01,6,1.0,0.65,1.0,0.6999999999999998
78,double_cake,5,embedding_paper,ccka,0.01,0.01,8,1.0,0.65,1.0,0.75
79,double_cake,5,embedding_paper,full,0.01,0.01,2,1.0,0.65,1.0,0.7
80,double_cake,5,embedding_paper,quack,0.01,0.01,2,1.0,0.65,1.0,0.65
81,double_cake,5,embedding_paper,random,0.01,0.01,10,1.0,0.65,1.0,0.6999999999999998
82,double_cake,5,embedding_paper,random,0.01,0.01,2,1.0,0.65,1.0,0.6999999999999998
83,double_cake,5,embedding_paper,random,0.01,0.01,4,1.0,0.65,1.0,0.8000000000000002
84,double_cake,5,embedding_paper,random,0.01,0.01,6,1.0,0.65,1.0,0.75
85,double_cake,5,embedding_paper,random,0.01,0.01,8,1.0,0.65,1.0,0.75
86,double_cake,5,he,ccka,0.01,0.01,10,1.0,0.65,1.0,0.75
87,double_cake,5,he,ccka,0.01,0.01,2,1.0,0.65,1.0,0.75
88,double_cake,5,he,ccka,0.01,0.01,4,1.0,0.65,1.0,0.8000000000000002
89,double_cake,5,he,ccka,0.01,0.01,6,1.0,0.65,1.0,0.65
90,double_cake,5,he,ccka,0.01,0.01,8,1.0,0.65,1.0,0.9
91,double_cake,5,he,full,0.01,0.01,2,1.0,0.65,1.0,0.8
92,double_cake,5,he,quack,0.01,0.01,2,1.0,0.65,1.0,0.65
93,double_cake,5,he,random,0.01,0.01,10,1.0,0.65,1.0,0.6999999999999998
94,double_cake,5,he,random,0.01,0.01,2,1.0,0.65,1.0,0.85
95,double_cake,5,he,random,0.01,0.01,4,1.0,0.65,1.0,0.8000000000000002
96,double_cake,5,he,random,0.01,0.01,6,1.0,0.65,1.0,0.8000000000000002
97,double_cake,5,he,random,0.01,0.01,8,1.0,0.65,1.0,0.6999999999999998
