dataset,method,metric,epoch,mean,min,max,n_seeds
checkerboard,randomKTA,test_accuracy,38.0,0.6599999999999999,0.36666666666666664,1.0,10
checkerboard,randomKTA,test_accuracy,39.0,0.6666666666666667,0.3333333333333333,1.0,10
checkerboard,randomKTA,test_accuracy,40.0,0.6766666666666666,0.3333333333333333,1.0,10
checkerboard,randomKTA,test_accuracy,41.0,0.6833333333333333,0.3333333333333333,1.0,10
checkerboard,randomKTA,test_accuracy,42.0,0.71,0.36666666666666664,1.0,10
checkerboard,randomKTA,test_accuracy,43.0,0.72,0.4,1.0,10
checkerboard,randomKTA,test_accuracy,44.0,0.7233333333333334,0.36666666666666664,1.0,10
checkerboard,randomKTA,test_accuracy,45.0,0.7333333333333333,0.36666666666666664,1.0,10
checkerboard,randomKTA,test_accuracy,46.0,0.7433333333333334,0.36666666666666664,1.0,10
checkerboard,randomKTA,test_accuracy,47.0,0.7666666666666667,0.4,1.0,10
checkerboard,randomKTA,test_accuracy,48.0,0.78,0.4,1.0,10
checkerboard,randomKTA,test_accuracy,49.0,0.7866666666666667,0.4,1.0,10
checkerboard,randomKTA,test_accuracy,50.0,0.79,0.4,1.0,10
checkerboard,randomKTA,test_accuracy,51.0,0.7966666666666666,0.4,1.0,10
checkerboard,randomKTA,test_accuracy,52.0,0.8166666666666667,0.4666666666666667,1.0,10
checkerboard,randomKTA,test_accuracy,53.0,0.8333333333333334,0.5333333333333333,1.0,10
checkerboard,randomKTA,test_accuracy,54.0,0.8400000000000001,0.5333333333333333,1.0,10
checkerboard,randomKTA,test_accuracy,55.0,0.8400000000000001,0.5333333333333333,1.0,10
checkerboard,randomKTA,test_accuracy,56.0,0.8533333333333333,0.6,1.0,10
checkerboard,randomKTA,test_accuracy,57.0,0.8733333333333333,0.6666666666666666,1.0,10
checkerboard,randomKTA,test_accuracy,58.0,0.8866666666666667,0.7,1.0,10
checkerboard,randomKTA,test_accuracy,59.0,0.8866666666666667,0.7,1.0,10
checkerboard,randomKTA,test_accuracy,60.0,0.8966666666666667,0.7,1.0,10
checkerboard,randomKTA,test_accuracy,61.0,0.9066666666666666,0.7,1.0,10
checkerboard,randomKTA,test_accuracy,62.0,0.9266666666666667,0.7,1.0,10
checkerboard,randomKTA,test_accuracy,63.0,0.9333333333333333,0.7,1.0,10
checkerboard,randomKTA,test_accuracy,64.0,0.9400000000000001,0.7333333333333333,1.0,10
checkerboard,randomKTA,test_accuracy,65.0,0.9333333333333333,0.7,1.0,10
checkerboard,randomKTA,test_accuracy,66.0,0.93,0.7,1.0,10
checkerboard,randomKTA,test_accuracy,67.0,0.9366666666666668,0.7666666666666667,1.0,10
checkerboard,randomKTA,test_accuracy,68.0,0.9533333333333334,0.8,1.0,10
checkerboard,randomKTA,test_accuracy,69.0,0.9533333333333334,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,70.0,0.9533333333333334,0.8666666666666667,1.0,10
checkerboard,randomKTA,test_accuracy,71.0,0.9533333333333334,0.9,1.0,10
checkerboard,randomKTA,test_accuracy,72.0,0.96,0.9,1.0,10
checkerboard,randomKTA,test_accuracy,73.0,0.95,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,74.0,0.95,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,75.0,0.9533333333333334,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,76.0,0.9633333333333333,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,77.0,0.97,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,78.0,0.9833333333333334,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,79.0,0.9833333333333334,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,80.0,0.9833333333333334,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,81.0,0.9833333333333334,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,82.0,0.9833333333333334,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,83.0,0.9833333333333334,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,84.0,0.9833333333333334,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,85.0,0.9800000000000001,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,86.0,0.9800000000000001,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,87.0,0.9766666666666668,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,88.0,0.9766666666666668,0.8333333333333334,1.0,10
checkerboard,randomKTA,test_accuracy,89.0,0.9800000000000001,0.8666666666666667,1.0,10
checkerboard,randomKTA,test_accuracy,90.0,0.9800000000000001,0.8666666666666667,1.0,10
checkerboard,randomKTA,test_accuracy,91.0,0.9800000000000001,0.8666666666666667,1.0,10
checkerboard,randomKTA,test_accuracy,92.0,0.9933333333333334,0.9666666666666667,1.0,10
checkerboard,randomKTA,test_accuracy,93.0,0.9933333333333334,0.9666666666666667,1.0,10
checkerboard,randomKTA,test_accuracy,94.0,0.9966666666666667,0.9666666666666667,1.0,10
checkerboard,randomKTA,test_accuracy,95.0,1.0,1.0,1.0,10
checkerboard,randomKTA,test_accuracy,96.0,1.0,1.0,1.0,10
checkerboard,randomKTA,test_accuracy,97.0,1.0,1.0,1.0,10
checkerboard,randomKTA,test_accuracy,98.0,1.0,1.0,1.0,10
checkerboard,randomKTA,test_accuracy,99.0,1.0,1.0,1.0,10
checkerboard,randomKTA,test_accuracy,100.0,1.0,1.0,1.0,10
checkerboard,quackKTA,test_accuracy,1.0,0.45,0.4,0.5333333333333333,10
checkerboard,quackKTA,test_accuracy,2.0,0.45,0.4,0.5333333333333333,10
checkerboard,quackKTA,test_accuracy,3.0,0.45999999999999996,0.4,0.5666666666666667,10
checkerboard,quackKTA,test_accuracy,4.0,0.45999999999999996,0.4,0.5666666666666667,10
checkerboard,quackKTA,test_accuracy,5.0,0.47333333333333333,0.4,0.5666666666666667,10
checkerboard,quackKTA,test_accuracy,6.0,0.47333333333333333,0.4,0.5666666666666667,10
checkerboard,quackKTA,test_accuracy,7.0,0.45666666666666667,0.4,0.5,10
checkerboard,quackKTA,test_accuracy,8.0,0.45666666666666667,0.4,0.5,10
checkerboard,quackKTA,test_accuracy,9.0,0.4333333333333333,0.26666666666666666,0.5,10
checkerboard,quackKTA,test_accuracy,10.0,0.4333333333333333,0.26666666666666666,0.5,10
checkerboard,quackKTA,test_accuracy,11.0,0.44000000000000006,0.4,0.5,10
checkerboard,quackKTA,test_accuracy,12.0,0.44000000000000006,0.4,0.5,10
checkerboard,quackKTA,test_accuracy,13.0,0.45999999999999996,0.36666666666666664,0.6,10
checkerboard,quackKTA,test_accuracy,14.0,0.45999999999999996,0.36666666666666664,0.6,10
checkerboard,quackKTA,test_accuracy,15.0,0.4766666666666667,0.36666666666666664,0.6333333333333333,10
checkerboard,quackKTA,test_accuracy,16.0,0.4766666666666667,0.36666666666666664,0.6333333333333333,10
checkerboard,quackKTA,test_accuracy,17.0,0.5233333333333333,0.36666666666666664,0.8333333333333334,10
checkerboard,quackKTA,test_accuracy,18.0,0.5233333333333333,0.36666666666666664,0.8333333333333334,10
checkerboard,quackKTA,test_accuracy,19.0,0.5566666666666666,0.36666666666666664,0.9666666666666667,10
checkerboard,quackKTA,test_accuracy,20.0,0.5566666666666666,0.36666666666666664,0.9666666666666667,10
checkerboard,quackKTA,test_accuracy,21.0,0.58,0.3333333333333333,1.0,10
checkerboard,quackKTA,test_accuracy,22.0,0.58,0.3333333333333333,1.0,10
checkerboard,quackKTA,test_accuracy,23.0,0.6033333333333333,0.3,1.0,10
checkerboard,quackKTA,test_accuracy,24.0,0.6033333333333333,0.3,1.0,10
checkerboard,quackKTA,test_accuracy,25.0,0.6266666666666667,0.3,1.0,10
checkerboard,quackKTA,test_accuracy,26.0,0.6266666666666667,0.3,1.0,10
checkerboard,quackKTA,test_accuracy,27.0,0.6433333333333333,0.3333333333333333,1.0,10
checkerboard,quackKTA,test_accuracy,28.0,0.6433333333333333,0.3333333333333333,1.0,10
checkerboard,quackKTA,test_accuracy,29.0,0.6866666666666668,0.4,1.0,10
checkerboard,quackKTA,test_accuracy,30.0,0.6866666666666668,0.4,1.0,10
checkerboard,quackKTA,test_accuracy,31.0,0.6833333333333333,0.3333333333333333,1.0,10
checkerboard,quackKTA,test_accuracy,32.0,0.6833333333333333,0.3333333333333333,1.0,10
checkerboard,quackKTA,test_accuracy,33.0,0.6933333333333334,0.36666666666666664,1.0,10
checkerboard,quackKTA,test_accuracy,34.0,0.6933333333333334,0.36666666666666664,1.0,10
checkerboard,quackKTA,test_accuracy,35.0,0.71,0.36666666666666664,1.0,10
checkerboard,quackKTA,test_accuracy,36.0,0.71,0.36666666666666664,1.0,10
checkerboard,quackKTA,test_accuracy,37.0,0.73,0.36666666666666664,1.0,10
checkerboard,quackKTA,test_accuracy,38.0,0.73,0.36666666666666664,1.0,10
checkerboard,quackKTA,test_accuracy,39.0,0.7433333333333334,0.4,1.0,10
checkerboard,quackKTA,test_accuracy,40.0,0.7433333333333334,0.4,1.0,10
checkerboard,quackKTA,test_accuracy,41.0,0.7666666666666666,0.4,1.0,10
checkerboard,quackKTA,test_accuracy,42.0,0.7666666666666666,0.4,1.0,10
checkerboard,quackKTA,test_accuracy,43.0,0.7933333333333333,0.4,1.0,10
checkerboard,quackKTA,test_accuracy,44.0,0.7933333333333333,0.4,1.0,10
checkerboard,quackKTA,test_accuracy,45.0,0.8333333333333334,0.4,1.0,10
checkerboard,quackKTA,test_accuracy,46.0,0.8333333333333334,0.4,1.0,10
checkerboard,quackKTA,test_accuracy,47.0,0.8433333333333334,0.4,1.0,10
checkerboard,quackKTA,test_accuracy,48.0,0.8433333333333334,0.4,1.0,10
checkerboard,quackKTA,test_accuracy,49.0,0.8666666666666666,0.5,1.0,10
checkerboard,quackKTA,test_accuracy,50.0,0.8666666666666666,0.5,1.0,10
checkerboard,quackKTA,test_accuracy,51.0,0.8766666666666666,0.5333333333333333,1.0,10
checkerboard,quackKTA,test_accuracy,52.0,0.8766666666666666,0.5333333333333333,1.0,10
checkerboard,quackKTA,test_accuracy,53.0,0.8833333333333332,0.6,1.0,10
checkerboard,quackKTA,test_accuracy,54.0,0.8833333333333332,0.6,1.0,10
checkerboard,quackKTA,test_accuracy,55.0,0.8933333333333333,0.7,1.0,10
checkerboard,quackKTA,test_accuracy,56.0,0.8933333333333333,0.7,1.0,10
checkerboard,quackKTA,test_accuracy,57.0,0.8933333333333333,0.7,1.0,10
checkerboard,quackKTA,test_accuracy,58.0,0.8933333333333333,0.7,1.0,10
