dataset,method,metric,epoch,mean,min,max,n_seeds
checkerboard,fullKTA,direction_diversity,31.0,2.3447826494162918,1.403450015120778,3.437393459181503,10
checkerboard,fullKTA,direction_diversity,32.0,2.3050405612465417,1.3839228087477797,3.3453184276785537,10
checkerboard,fullKTA,direction_diversity,33.0,2.2768901843943476,1.2939111879861687,3.3419728940302345,10
checkerboard,fullKTA,direction_diversity,34.0,2.3122015773874223,1.2823885069827514,4.2486508806845205,10
checkerboard,fullKTA,direction_diversity,35.0,2.3617146624474588,1.1919575282386952,5.259383264083642,10
checkerboard,fullKTA,direction_diversity,36.0,2.3594513093776133,1.1118532591957087,5.707118056224159,10
checkerboard,fullKTA,direction_diversity,37.0,2.2714300931941027,1.0606680119459944,5.308373833307907,10
checkerboard,fullKTA,direction_diversity,38.0,2.0203224352428566,1.0405048780110546,3.2581744389471825,10
checkerboard,fullKTA,direction_diversity,39.0,1.891461767275206,1.0369766511063438,2.522186509599971,10
checkerboard,fullKTA,direction_diversity,40.0,1.8175255507699706,1.0350920599504776,2.40250152887546,10
checkerboard,fullKTA,direction_diversity,41.0,1.7785205873962853,1.0251427775357769,2.299659947771602,10
checkerboard,fullKTA,direction_diversity,42.0,1.7601441053815006,1.0165816385044932,2.3311095958495063,10
checkerboard,fullKTA,direction_diversity,43.0,1.725724419890683,1.0131861945213438,2.254981406112054,10
checkerboard,fullKTA,direction_diversity,44.0,1.7110079767797763,1.014632832585412,2.3486939979385246,10
checkerboard,fullKTA,direction_diversity,45.0,1.6913009648493031,1.0207374155917197,2.3635368207170084,10
checkerboard,fullKTA,direction_diversity,46.0,1.6677942182389967,1.0256043361074636,2.3144958579921746,10
checkerboard,fullKTA,direction_diversity,47.0,1.64045900866645,1.014769037733479,2.226849377804477,10
checkerboard,fullKTA,direction_diversity,48.0,1.6140029774137226,1.011391288577648,2.1981103821390917,10
checkerboard,fullKTA,direction_diversity,49.0,1.5908017929474019,1.010382800082098,2.1936468641842253,10
checkerboard,fullKTA,direction_diversity,50.0,1.5729749823832133,1.0108343764280237,2.1830574139738204,10
checkerboard,fullKTA,direction_diversity,51.0,1.5614796684757342,1.0119907271555422,2.16180915937369,10
checkerboard,fullKTA,direction_diversity,52.0,1.5542841742469768,1.0134593387628867,2.1339544550182494,10
checkerboard,fullKTA,direction_diversity,53.0,1.5497446080614399,1.015366511035772,2.1003150310314083,10
checkerboard,fullKTA,direction_diversity,54.0,1.5476385509267812,1.0170875572044376,2.0636797556074455,10
checkerboard,fullKTA,direction_diversity,55.0,1.54807975613347,1.0145356344306689,2.033846769407172,10
checkerboard,fullKTA,direction_diversity,56.0,1.5492965420180835,1.007933251064979,2.0100822735051582,10
checkerboard,fullKTA,direction_diversity,57.0,1.5516528821321924,1.0076844064286425,2.0043867423304462,10
checkerboard,fullKTA,direction_diversity,58.0,1.555629940170681,1.0060508205486152,2.0020695656788168,10
checkerboard,fullKTA,direction_diversity,59.0,1.5597839502656528,1.0048816013398953,1.998387202744394,10
checkerboard,fullKTA,direction_diversity,60.0,1.5627702069766427,1.0040487682484793,1.9937425834541336,10
checkerboard,fullKTA,direction_diversity,61.0,1.5649855313119763,1.0036629211544996,1.98837420084467,10
checkerboard,fullKTA,direction_diversity,62.0,1.566568909917513,1.0037608155747793,1.9830026066183115,10
