method,dataset,centroids,num_iterations,initial_training_accuracy,final_training_accuracy,initial_testing_accuracy,final_testing_accuracy,f1_score,precision,recall,training_time,circuit_executions,initial_kernel_alignment,final_kernel_alignment
centroidBasedKTA,corners,4.0,400,0.95,0.99,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,51.24477100000013,840500,0.1503462940454483,0.16197124123573303
centroidBasedKTA,corners,6.0,400,0.95,0.97,0.83,0.95,0.9499949994999499,0.9505802320928372,0.9511217948717949,50.675318957999934,843700,0.1713453233242035,0.15231886506080627
centroidBasedKTA,corners,8.0,400,0.95,0.99,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,50.607057082999745,846900,0.18077000975608826,0.1375637650489807
centroidBasedKTA,corners,10.0,400,0.95,0.98,0.83,0.94,0.9399759903961584,0.94,0.9407051282051282,50.80109300000004,850100,0.1927756369113922,0.15059860050678253
greedyKTA,corners,2.0,40,0.95,0.94,0.83,0.89,0.8897243107769424,0.8902047370533922,0.8894230769230769,27.03161458300019,863056,0.19606539607048035,0.17503203451633453
greedyKTA,corners,4.0,40,0.95,0.96,0.83,0.85,0.849624060150376,0.8598531211750307,0.8533653846153846,27.09440895800026,863070,0.19606539607048035,0.17452798783779144
greedyKTA,corners,6.0,40,0.95,0.99,0.83,0.94,0.94,0.9415064102564102,0.9415064102564102,27.68670266700019,863092,0.19606539607048035,0.19224222004413605
greedyKTA,corners,8.0,40,0.95,0.98,0.83,0.95,0.9499549594635172,0.949779911964786,0.9503205128205128,28.683116874999996,863122,0.19606539607048035,0.21198555827140808
greedyKTA,corners,10.0,40,0.95,0.96,0.83,0.82,0.8199279711884754,0.8236714975845411,0.8221153846153846,28.703129833000276,863160,0.19606539607048035,0.20859545469284058
fullKTA,corners,,50,0.95,0.99,0.83,0.96,0.959983993597439,0.96,0.9607371794871795,29.729304375000083,1030150,0.19606539607048035,0.46536785364151
randomKTA,corners,2.0,50,0.95,0.93,0.83,0.81,0.8098288459613652,0.8151515151515152,0.8125,24.127921541999967,1020056,0.19606539607048035,0.1789235919713974
