method,dataset,centroids,num_iterations,initial_training_accuracy,final_training_accuracy,initial_testing_accuracy,final_testing_accuracy,f1_score,precision,recall,training_time,circuit_executions,initial_kernel_alignment,final_kernel_alignment
greedyKTA,donuts,2.0,30,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8166666666666667,0.8166157265907197,0.8166666666666667,0.8170189098998888,20.988484667000193,244236,0.11800495535135269,0.08351879566907883
greedyKTA,donuts,4.0,30,0.8833333333333333,0.9,0.8833333333333333,0.8833333333333333,0.883300916921367,0.8833333333333333,0.8837597330367075,21.836732499999925,244250,0.11800495535135269,0.13593317568302155
greedyKTA,donuts,6.0,30,0.8833333333333333,0.95,0.8833333333333333,0.8833333333333333,0.883300916921367,0.8861607142857143,0.8848720800889878,21.383098915999653,244272,0.11800495535135269,0.15614059567451477
greedyKTA,donuts,8.0,30,0.8833333333333333,0.9666666666666667,0.8833333333333333,0.8333333333333334,0.8325892857142857,0.8457142857142858,0.8364849833147943,25.49183829200001,244302,0.11800495535135269,0.13372273743152618
greedyKTA,donuts,10.0,30,0.8833333333333333,0.95,0.8833333333333333,0.85,0.8499583217560434,0.8526785714285714,0.8515016685205784,22.303973041000063,244340,0.11800495535135269,0.13220493495464325
fullKTA,donuts,,40,0.8833333333333333,1.0,0.8833333333333333,0.8333333333333334,0.8325892857142857,0.8457142857142858,0.8364849833147943,23.231955792000008,299490,0.11800495535135269,0.35751578211784363
randomKTA,donuts,2.0,40,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.8333333333333334,0.8331479421579533,0.8331479421579533,0.8331479421579533,17.3036040840002,295836,0.11800495535135269,0.1388809084892273
randomKTA,donuts,4.0,40,0.8833333333333333,1.0,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.867630700778643,0.867630700778643,17.22652199999993,295850,0.11800495535135269,0.16007272899150848
randomKTA,donuts,6.0,40,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8166666666666667,0.8153846153846154,0.8333333333333333,0.8203559510567298,17.851500417000352,295872,0.11800495535135269,0.18136382102966309
randomKTA,donuts,8.0,40,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8333333333333334,0.8331479421579533,0.8331479421579533,0.8331479421579533,21.755883750000066,295902,0.11800495535135269,0.18431267142295837
randomKTA,donuts,10.0,40,0.8833333333333333,1.0,0.8833333333333333,0.8333333333333334,0.8333333333333334,0.8342602892102335,0.8342602892102335,18.5691234169999,295940,0.11800495535135269,0.23663479089736938
quackKTA,donuts,2.0,40,0.8833333333333333,0.9666666666666667,0.8833333333333333,0.8333333333333334,0.8333333333333334,0.8342602892102335,0.8342602892102335,74.83412225000029,3255660,0.1174861267209053,0.160495787858963
quackKTA,donuts,4.0,40,0.8833333333333333,0.9666666666666667,0.8833333333333333,0.8333333333333334,0.8333333333333334,0.8342602892102335,0.8342602892102335,78.23970141699965,3255660,0.1174861267209053,0.160495787858963
quackKTA,donuts,6.0,40,0.8833333333333333,0.9666666666666667,0.8833333333333333,0.8333333333333334,0.8333333333333334,0.8342602892102335,0.8342602892102335,75.01941504199976,3255660,0.1174861267209053,0.160495787858963
quackKTA,donuts,8.0,40,0.8833333333333333,0.9666666666666667,0.8833333333333333,0.8333333333333334,0.8333333333333334,0.8342602892102335,0.8342602892102335,80.0848501659998,3255660,0.1174861267209053,0.160495787858963
quackKTA,donuts,10.0,40,0.8833333333333333,0.9666666666666667,0.8833333333333333,0.8333333333333334,0.8333333333333334,0.8342602892102335,0.8342602892102335,80.63442533300031,3255660,0.1174861267209053,0.160495787858963
centroidBasedKTA,donuts,2.0,400,0.8833333333333333,1.0,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8720538720538721,0.8687430478309233,46.90843629200026,304460,0.14359112083911896,0.10846768319606781
centroidBasedKTA,donuts,4.0,400,0.8833333333333333,1.0,0.8833333333333333,0.8833333333333333,0.8830409356725146,0.8925339366515836,0.885984427141268,47.422107624999626,307660,0.14394433796405792,0.12256581336259842
centroidBasedKTA,donuts,6.0,400,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8665183537263625,0.8665183537263625,46.82539212499978,310860,0.14378607273101807,0.12748251855373383
centroidBasedKTA,donuts,8.0,400,0.8833333333333333,1.0,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.867630700778643,0.867630700778643,45.63119058300026,314060,0.08763590455055237,0.14131325483322144
centroidBasedKTA,donuts,10.0,400,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.867630700778643,0.867630700778643,42.214096000000154,317260,0.1271224021911621,0.13642601668834686
greedyKTA,donuts,2.0,40,0.8833333333333333,0.9666666666666667,0.8833333333333333,0.8166666666666667,0.8162071846282373,0.8246606334841629,0.8192436040044494,26.005123124999955,323836,0.11800495535135269,0.10359479486942291
greedyKTA,donuts,4.0,40,0.8833333333333333,1.0,0.8833333333333333,0.7833333333333333,0.7827903091060986,0.7907239819004526,0.78587319243604,22.486405167000157,323850,0.11800495535135269,0.1631738543510437
greedyKTA,donuts,6.0,40,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.7833333333333333,0.7827903091060986,0.7907239819004526,0.78587319243604,22.682195124999907,323872,0.11800495535135269,0.12509101629257202
greedyKTA,donuts,8.0,40,0.8833333333333333,0.8666666666666667,0.8833333333333333,0.8166666666666667,0.8162071846282373,0.8246606334841629,0.8192436040044494,23.813297665999926,323902,0.11800495535135269,0.10486163198947906
greedyKTA,donuts,10.0,40,0.8833333333333333,0.8666666666666667,0.8833333333333333,0.75,0.7499305362600722,0.75,0.7502780867630701,23.811334249999618,323940,0.11800495535135269,0.12586790323257446
fullKTA,donuts,,50,0.8833333333333333,1.0,0.8833333333333333,0.8166666666666667,0.8162071846282373,0.8246606334841629,0.8192436040044494,25.05253195899968,372090,0.11800495535135269,0.36751866340637207
randomKTA,donuts,2.0,50,0.8833333333333333,0.9,0.8833333333333333,0.85,0.8499583217560434,0.8500000000000001,0.850389321468298,18.10981329199967,368436,0.11800495535135269,0.12209811806678772
randomKTA,donuts,4.0,50,0.8833333333333333,0.9666666666666667,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8720538720538721,0.8687430478309233,22.883184625000013,368450,0.11800495535135269,0.14838792383670807
randomKTA,donuts,6.0,50,0.8833333333333333,0.9333333333333333,0.8833333333333333,0.8166666666666667,0.8162071846282373,0.8246606334841629,0.8192436040044494,18.56759170899977,368472,0.11800495535135269,0.20040421187877655
randomKTA,donuts,8.0,50,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8,0.8,0.8008898776418243,0.8008898776418243,19.746111875000224,368502,0.11800495535135269,0.2092575579881668
randomKTA,donuts,10.0,50,0.8833333333333333,1.0,0.8833333333333333,0.85,0.8499583217560434,0.8526785714285714,0.8515016685205784,19.79660295800022,368540,0.11800495535135269,0.24493490159511566
quackKTA,donuts,2.0,50,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8720538720538721,0.8687430478309233,88.26454841700024,4066860,0.1174861267209053,0.1539345234632492
quackKTA,donuts,4.0,50,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8720538720538721,0.8687430478309233,93.11144466600035,4066860,0.1174861267209053,0.1539345234632492
quackKTA,donuts,6.0,50,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8720538720538721,0.8687430478309233,88.17458387500028,4066860,0.1174861267209053,0.1539345234632492
quackKTA,donuts,8.0,50,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8720538720538721,0.8687430478309233,88.370756583,4066860,0.1174861267209053,0.1539345234632492
quackKTA,donuts,10.0,50,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8720538720538721,0.8687430478309233,92.84365579199994,4066860,0.1174861267209053,0.1539345234632492
centroidBasedKTA,donuts,2.0,500,0.8833333333333333,1.0,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8720538720538721,0.8687430478309233,46.924178250000296,377860,0.14359112083911896,0.1429709494113922
centroidBasedKTA,donuts,4.0,500,0.8833333333333333,1.0,0.8833333333333333,0.9166666666666666,0.9166435120866907,0.9196428571428572,0.9182424916573971,47.32401545799985,381860,0.14394433796405792,0.14952032268047333
centroidBasedKTA,donuts,6.0,500,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8665183537263625,0.8665183537263625,51.47645499999999,385860,0.14378607273101807,0.14334407448768616
